Source:_SUSPLAN,_ENTSO-E	Unnamed:_1	Unnamed:_2	Unnamed:_3
Switzerland	Austria	1	835.0
CzechR	Austria	1	650.0
Germany	Austria	1	1900.0
Hungary	Austria	1	425.0
Italy	Austria	1	152.5
Croatia	BosniaH	1	615.0
France	Belgium	1	2700.0
Luxemb.	Belgium	1	1000.0
Greece	Bulgaria	1	550.0
Germany	Switzerland	1	3500.0
France	Switzerland	1	2750.0
Italy	Switzerland	1	3025.0
Germany	CzechR	1	1525.0
Denmark	Germany	1	1500.0
France	Germany	1	2825.0
Luxemb.	Germany	1	980.0
Finland	Estonia	1	1000.0
France	Spain	1	950.0
GreatBrit.	France	1	2000.0
Italy	France	1	1822.5
Ireland	GreatBrit.	1	410.0
Italy	Greece	1	500.0
Hungary	Croatia	1	700.0
GreatBrit.	Belgium	1	0.0
GreatBrit.	Denmark	1	1400.0
Italy	BosniaH	1	0.0
Italy	Croatia	1	0.0
Germany	Belgium	1	0.0
Italy	Germany	1	0.0
Ireland	Spain	1	0.0
Ireland	France	1	0.0
Luxemb.	France	1	0.0
Switzerland	Austria	2	835.0
CzechR	Austria	2	650.0
Germany	Austria	2	1900.0
Hungary	Austria	2	425.0
Italy	Austria	2	152.5
Croatia	BosniaH	2	615.0
France	Belgium	2	2700.0
Luxemb.	Belgium	2	1000.0
Greece	Bulgaria	2	550.0
Germany	Switzerland	2	3500.0
France	Switzerland	2	2750.0
Italy	Switzerland	2	3025.0
Germany	CzechR	2	1525.0
Denmark	Germany	2	1500.0
France	Germany	2	2825.0
Luxemb.	Germany	2	980.0
Finland	Estonia	2	1000.0
France	Spain	2	950.0
GreatBrit.	France	2	2000.0
Italy	France	2	1822.5
Ireland	GreatBrit.	2	410.0
Italy	Greece	2	500.0
Hungary	Croatia	2	700.0
GreatBrit.	Belgium	2	0.0
GreatBrit.	Denmark	2	1400.0
Italy	BosniaH	2	0.0
Italy	Croatia	2	0.0
Germany	Belgium	2	0.0
Italy	Germany	2	0.0
Ireland	Spain	2	0.0
Ireland	France	2	0.0
Luxemb.	France	2	0.0
Switzerland	Austria	3	835.0
CzechR	Austria	3	650.0
Germany	Austria	3	1900.0
Hungary	Austria	3	425.0
Italy	Austria	3	152.5
Croatia	BosniaH	3	615.0
France	Belgium	3	2700.0
Luxemb.	Belgium	3	1000.0
Greece	Bulgaria	3	550.0
Germany	Switzerland	3	3500.0
France	Switzerland	3	2750.0
Italy	Switzerland	3	3025.0
Germany	CzechR	3	1525.0
Denmark	Germany	3	1500.0
France	Germany	3	2825.0
Luxemb.	Germany	3	980.0
Finland	Estonia	3	1000.0
France	Spain	3	950.0
GreatBrit.	France	3	2000.0
Italy	France	3	1822.5
Ireland	GreatBrit.	3	410.0
Italy	Greece	3	500.0
Hungary	Croatia	3	700.0
GreatBrit.	Belgium	3	0.0
GreatBrit.	Denmark	3	1400.0
Italy	BosniaH	3	0.0
Italy	Croatia	3	0.0
Germany	Belgium	3	0.0
Italy	Germany	3	0.0
Ireland	Spain	3	0.0
Ireland	France	3	0.0
Luxemb.	France	3	0.0
Switzerland	Austria	4	835.0
CzechR	Austria	4	650.0
Germany	Austria	4	1900.0
Hungary	Austria	4	425.0
Italy	Austria	4	152.5
Croatia	BosniaH	4	615.0
France	Belgium	4	2700.0
Luxemb.	Belgium	4	1000.0
