Source:_Eurelectric,_ISO,_ENTSO-E,_ZEP	Unnamed:_1	Unnamed:_2	Unnamed:_3
Germany	HydroPumpStorage	1	38626
France	HydroPumpStorage	1	184296
Germany	HydroPumpStorage	2	38626
France	HydroPumpStorage	2	184296
Germany	HydroPumpStorage	3	38626
France	HydroPumpStorage	3	184296
Germany	HydroPumpStorage	4	38626
France	HydroPumpStorage	4	184296
Germany	HydroPumpStorage	5	38626
France	HydroPumpStorage	5	184296
Germany	HydroPumpStorage	6	38626
France	HydroPumpStorage	6	184296
Germany	HydroPumpStorage	7	38626
France	HydroPumpStorage	7	184296
Germany	HydroPumpStorage	8	38626
France	HydroPumpStorage	8	184296
